condition,n_hits,n_total,hit_pct,fwd_5d_avg,fwd_5d_median,fwd_5d_edge,fwd_5d_win,fwd_5d_t,fwd_5d_p,fwd_5d_bench,fwd_10d_avg,fwd_10d_median,fwd_10d_edge,fwd_10d_win,fwd_10d_t,fwd_10d_p,fwd_10d_bench,fwd_20d_avg,fwd_20d_median,fwd_20d_edge,fwd_20d_win,fwd_20d_t,fwd_20d_p,fwd_20d_bench,sharpe_20d,worst_20d,best_20d
⭐ +DI>-DI+ADX>25 (Directional Bull),103237,493695,20.91,0.467,0.0,0.115,43.7,5.47,0.0,0.352,0.921,0.0,0.215,46.0,7.13,0.0,0.706,1.773,0.0,0.353,48.4,7.7,0.0,1.42,0.12,-68.75,547.92
⭐ TrendUP+ADX25-40+RSI45-60,37454,493695,7.59,0.357,0.0,-0.021,44.1,-0.77,0.4416,0.378,0.695,0.0,-0.06,45.6,-1.52,0.1273,0.755,1.504,0.0,0.011,48.4,0.18,0.8549,1.493,0.127,-60.81,547.92
🔴 RSI>70+Stoch>80+CCI>100 (Sell),24967,493695,5.06,0.642,0.0,0.28,44.9,5.19,0.0,0.362,1.253,0.0,0.529,48.2,7.08,0.0,0.724,2.083,0.229,0.621,50.4,6.27,0.0,1.463,0.133,-68.75,336.99
⭐ MACD CrossUp+RSI30-50,6533,493695,1.32,0.049,0.0,-0.332,41.7,-5.53,0.0,0.381,0.449,0.0,-0.306,45.5,-3.43,0.0006,0.755,1.255,0.0,-0.242,48.2,-1.78,0.0746,1.497,0.114,-72.7,281.0
⭐ ATR%<2+MA20>MA50 (LowVol Uptrend),67871,493695,13.75,0.331,0.0,-0.053,42.8,-3.17,0.0015,0.384,0.7,0.0,-0.059,47.1,-2.44,0.0145,0.759,1.452,0.326,-0.048,51.5,-1.32,0.188,1.501,0.152,-85.61,349.61
⭐ RSI<35+Price>MA200 (OS in Bull),6394,493695,1.3,0.61,0.0,0.237,49.5,3.18,0.0015,0.373,1.32,0.45,0.576,52.1,5.39,0.0,0.743,1.346,0.456,-0.15,51.7,-1.02,0.3095,1.496,0.114,-55.79,163.89
⭐ CCI<-150+RSI<30 (Extreme OS),9445,493695,1.91,1.171,0.704,0.81,53.9,10.21,0.0,0.361,1.882,1.461,1.154,57.1,10.94,0.0,0.729,3.245,2.5,1.786,60.6,13.24,0.0,1.46,0.248,-81.05,130.0
⭐ Stoch K xD(<25)+TrendUP med,11675,493695,2.36,0.284,0.0,-0.095,49.2,-1.82,0.0689,0.379,0.682,0.156,-0.071,50.4,-0.95,0.34,0.753,0.893,0.0,-0.615,49.3,-5.63,0.0,1.508,0.076,-85.61,233.33
⭐ MA5>MA20>MA50>MA200 (Full Bull),89302,493695,18.09,0.236,0.0,-0.172,44.4,-7.97,0.0,0.408,0.523,0.0,-0.279,45.8,-8.93,0.0,0.801,1.314,0.0,-0.22,47.7,-4.47,0.0,1.534,0.089,-68.75,547.92
🔴 Mom>20%+RSI>70 (Extreme OB),12504,493695,2.53,0.609,0.0,0.238,43.6,2.49,0.0127,0.37,1.067,0.0,0.324,44.8,2.42,0.0154,0.743,1.382,-0.582,-0.115,46.1,-0.65,0.5131,1.497,0.07,-68.75,336.99
🔴 ATR%>5+TrendDOWN (Avoid),30171,493695,6.11,0.606,0.0,0.245,45.6,5.21,0.0,0.362,1.096,0.0,0.367,46.8,5.52,0.0,0.728,1.666,0.0,0.183,48.2,1.94,0.0527,1.483,0.102,-75.71,238.64
⭐ BB%B<0+Stoch<20 (DoubleOS v2),16969,493695,3.44,1.222,0.937,0.875,57.6,16.68,0.0,0.346,1.781,1.392,1.067,58.9,14.98,0.0,0.714,2.727,1.877,1.277,59.5,13.18,0.0,1.45,0.216,-81.05,238.64
⭐ RSI<30+BB<0+CCI<-100 (UltraOS),7841,493695,1.59,1.277,0.901,0.916,55.5,10.4,0.0,0.362,1.897,1.585,1.164,57.8,9.87,0.0,0.732,3.283,2.632,1.817,61.3,12.04,0.0,1.465,0.246,-81.05,130.0
